epoch,loss,val_loss
0,0.15524578094482422,4.3783789038798204e-08
1,0.05159246549010277,4.3783789038798204e-08
2,0.02008846029639244,4.3783789038798204e-08
3,0.015222304500639439,4.3783789038798204e-08
4,0.012804679572582245,0.00025039399042725563
5,0.012091251090168953,0.0002264004579046741
6,0.008591470308601856,0.0015719786752015352
7,0.01313100941479206,4.713924499810673e-05
8,0.009153084829449654,3.2780098990770057e-07
9,0.010176552459597588,0.0003282174584455788
10,0.009137377142906189,0.0011180590372532606
